Station,RMSE,MAE
Dingling,70.8,45.1
Changping,71.2,44.1
Huairou,71.2,45.0
Wanliu,84.5,52.7
Shunyi,85.2,55.3
Aotizhongxin,86.5,54.7
Gucheng,87.7,53.9
Tiantan,87.8,55.3
Guanyuan,91.4,59.0
Nongzhanguan,91.8,58.8
Wanshouxigong,94.3,58.9
Dongsi,96.6,62.5
